wavelength,readnoise,dark_counts,sky_counts,thermal,target_counts,total_counts
13048.0000,61816,5075,1.7719e+05,12956,1.099e+07,1.1185e+07
13094.5000,61816,5075,1.7719e+05,12956,1.0901e+07,1.1097e+07
13141.0000,61816,5075,1.7719e+05,12956,1.0632e+07,1.0827e+07
13187.5000,61816,5075,1.7719e+05,12956,1.031e+07,1.0505e+07
13234.0000,61816,5075,1.7719e+05,12956,1.0155e+07,1.035e+07
13280.5000,61816,5075,1.7719e+05,12956,1.0094e+07,1.0289e+07
13327.0000,61816,5075,1.7719e+05,12956,1.0115e+07,1.031e+07
13373.5000,61816,5075,1.7719e+05,12956,1.0211e+07,1.0406e+07
13420.0000,61816,5075,1.7719e+05,12956,1.0273e+07,1.0468e+07
13466.5000,0,5075,1.7719e+05,12956,1.0281e+07,1.0476e+07
13513.0000,0,5075,1.7719e+05,12956,1.0271e+07,1.0466e+07
13559.5000,0,5075,1.7719e+05,12956,1.0217e+07,1.0412e+07
13606.0000,0,5075,1.7719e+05,12956,1.0103e+07,1.0298e+07
13652.5000,0,5075,1.7719e+05,12956,9.7129e+06,9.9081e+06
13699.0000,0,5075,1.7719e+05,12956,9.3322e+06,9.5274e+06
13745.5000,0,5075,1.7719e+05,12956,9.2458e+06,9.441e+06
13792.0000,0,5075,1.7719e+05,12956,9.2262e+06,9.4214e+06
13838.5000,0,5075,1.7719e+05,12956,9.1817e+06,9.3769e+06
13885.0000,0,5075,1.7719e+05,12956,9.2379e+06,9.4331e+06
13931.5000,0,5075,1.7719e+05,12956,9.2787e+06,9.4739e+06
13978.0000,0,5075,1.7719e+05,12956,9.3078e+06,9.503e+06
14024.5000,0,5075,1.7719e+05,12956,9.3022e+06,9.4974e+06
14071.0000,0,5075,1.7719e+05,12956,9.2643e+06,9.4595e+06
14117.5000,0,5075,1.7719e+05,12956,9.2121e+06,9.4073e+06
14164.0000,0,5075,1.7719e+05,12956,9.1208e+06,9.316e+06
14210.5000,0,5075,1.7719e+05,12956,9.0255e+06,9.2207e+06
14257.0000,0,5075,1.7719e+05,12956,8.9511e+06,9.1463e+06
14303.5000,0,5075,1.7719e+05,12956,8.9137e+06,9.1089e+06
14350.0000,0,5075,1.7719e+05,12956,8.9263e+06,9.1215e+06
14396.5000,0,5075,1.7719e+05,12956,8.9177e+06,9.1129e+06
14443.0000,0,5075,1.7719e+05,12956,8.6859e+06,8.8811e+06
14489.5000,0,5075,1.7719e+05,12956,8.5458e+06,8.741e+06
14536.0000,0,5075,1.7719e+05,12956,8.3321e+06,8.5273e+06
14582.5000,0,5075,1.7719e+05,12956,8.5528e+06,8.7481e+06
14629.0000,0,5075,1.7719e+05,12956,8.5136e+06,8.7088e+06
14675.5000,0,5075,1.7719e+05,12956,8.6329e+06,8.8281e+06
14722.0000,0,5075,1.7719e+05,12956,8.5222e+06,8.7174e+06
14768.5000,0,5075,1.7719e+05,12956,8.6571e+06,8.8523e+06
14815.0000,0,5075,1.7719e+05,12956,8.5673e+06,8.7625e+06
