wavelength,readnoise,dark_counts,sky_counts,thermal,target_counts,total_counts
12908.5000,79296,6488.4,2.2653e+05,16564,1.2318e+07,1.2567e+07
12955.0000,79296,6488.4,2.2653e+05,16564,1.2452e+07,1.2701e+07
13001.5000,79296,6488.4,2.2653e+05,16564,1.2567e+07,1.2817e+07
13048.0000,79296,6488.4,2.2653e+05,16564,1.2553e+07,1.2803e+07
13094.5000,79296,6488.4,2.2653e+05,16564,1.2498e+07,1.2747e+07
13141.0000,79296,6488.4,2.2653e+05,16564,1.2233e+07,1.2482e+07
13187.5000,79296,6488.4,2.2653e+05,16564,1.1905e+07,1.2154e+07
13234.0000,79296,6488.4,2.2653e+05,16564,1.1767e+07,1.2016e+07
13280.5000,79296,6488.4,2.2653e+05,16564,1.1736e+07,1.1986e+07
13327.0000,79296,6488.4,2.2653e+05,16564,1.18e+07,1.2049e+07
13373.5000,79296,6488.4,2.2653e+05,16564,1.1951e+07,1.22e+07
13420.0000,79296,6488.4,2.2653e+05,16564,1.2061e+07,1.2311e+07
13466.5000,0,6488.4,2.2653e+05,16564,1.2108e+07,1.2357e+07
13513.0000,0,6488.4,2.2653e+05,16564,1.2133e+07,1.2382e+07
13559.5000,0,6488.4,2.2653e+05,16564,1.2104e+07,1.2354e+07
13606.0000,0,6488.4,2.2653e+05,16564,1.2004e+07,1.2253e+07
13652.5000,0,6488.4,2.2653e+05,16564,1.1572e+07,1.1821e+07
13699.0000,0,6488.4,2.2653e+05,16564,1.1148e+07,1.1397e+07
13745.5000,0,6488.4,2.2653e+05,16564,1.1073e+07,1.1323e+07
13792.0000,0,6488.4,2.2653e+05,16564,1.1077e+07,1.1326e+07
13838.5000,0,6488.4,2.2653e+05,16564,1.1049e+07,1.1299e+07
13885.0000,0,6488.4,2.2653e+05,16564,1.1142e+07,1.1392e+07
13931.5000,0,6488.4,2.2653e+05,16564,1.1216e+07,1.1465e+07
13978.0000,0,6488.4,2.2653e+05,16564,1.1274e+07,1.1524e+07
14024.5000,0,6488.4,2.2653e+05,16564,1.1289e+07,1.1539e+07
14071.0000,0,6488.4,2.2653e+05,16564,1.1264e+07,1.1514e+07
14117.5000,0,6488.4,2.2653e+05,16564,1.122e+07,1.147e+07
14164.0000,0,6488.4,2.2653e+05,16564,1.1127e+07,1.1377e+07
14210.5000,0,6488.4,2.2653e+05,16564,1.1028e+07,1.1277e+07
