wavelength,readnoise,dark_counts,sky_counts,thermal,target_counts,total_counts
9700.0000,38795,3230.5,1.1279e+05,8246.9,1790.4,1.2606e+05
9746.5000,38795,3230.5,1.1279e+05,8246.9,6028.5,1.303e+05
9793.0000,38795,3230.5,1.1279e+05,8246.9,9252.8,1.3352e+05
9839.5000,38795,3230.5,1.1279e+05,8246.9,9355.7,1.3362e+05
9886.0000,38795,3230.5,1.1279e+05,8246.9,8842.9,1.3311e+05
9932.5000,38795,3230.5,1.1279e+05,8246.9,9976.3,1.3424e+05
9979.0000,38795,3230.5,1.1279e+05,8246.9,12412,1.3668e+05
10025.5000,38795,3230.5,1.1279e+05,8246.9,15854,1.4012e+05
10072.0000,38795,3230.5,1.1279e+05,8246.9,21557,1.4582e+05
10118.5000,38795,3230.5,1.1279e+05,8246.9,27565,1.5183e+05
10165.0000,38795,3230.5,1.1279e+05,8246.9,32012,1.5628e+05
10211.5000,38795,3230.5,1.1279e+05,8246.9,41130,1.654e+05
10258.0000,38795,3230.5,1.1279e+05,8246.9,63310,1.8758e+05
10304.5000,38795,3230.5,1.1279e+05,8246.9,89345,2.1361e+05
10351.0000,38795,3230.5,1.1279e+05,8246.9,1.1634e+05,2.4061e+05
10397.5000,38795,3230.5,1.1279e+05,8246.9,1.4429e+05,2.6855e+05
10444.0000,38795,3230.5,1.1279e+05,8246.9,2.1559e+05,3.3985e+05
10490.5000,38795,3230.5,1.1279e+05,8246.9,3.0449e+05,4.2875e+05
10537.0000,38795,3230.5,1.1279e+05,8246.9,4.3467e+05,5.5894e+05
10583.5000,38795,3230.5,1.1279e+05,8246.9,5.9063e+05,7.149e+05
10630.0000,38795,3230.5,1.1279e+05,8246.9,7.4906e+05,8.7333e+05
10676.5000,38795,3230.5,1.1279e+05,8246.9,9.1375e+05,1.038e+06
10723.0000,38795,3230.5,1.1279e+05,8246.9,1.4217e+06,1.546e+06
10769.5000,38795,3230.5,1.1279e+05,8246.9,2.3685e+06,2.4928e+06
10816.0000,38795,3230.5,1.1279e+05,8246.9,3.2088e+06,3.333e+06
10862.5000,38795,3230.5,1.1279e+05,8246.9,3.8332e+06,3.9575e+06
10909.0000,38795,3230.5,1.1279e+05,8246.9,4.4824e+06,4.6066e+06
10955.5000,38795,3230.5,1.1279e+05,8246.9,5.2729e+06,5.3972e+06
11002.0000,38795,3230.5,1.1279e+05,8246.9,6.0604e+06,6.1846e+06
11048.5000,38795,3230.5,1.1279e+05,8246.9,6.7816e+06,6.9058e+06
11095.0000,38795,3230.5,1.1279e+05,8246.9,7.4595e+06,7.5837e+06
11141.5000,38795,3230.5,1.1279e+05,8246.9,7.7827e+06,7.907e+06
11188.0000,38795,3230.5,1.1279e+05,8246.9,7.9908e+06,8.1151e+06
11234.5000,38795,3230.5,1.1279e+05,8246.9,8.0427e+06,8.167e+06
11281.0000,38795,3230.5,1.1279e+05,8246.9,8.0108e+06,8.135e+06
11327.5000,38795,3230.5,1.1279e+05,8246.9,7.9928e+06,8.117e+06
11374.0000,38795,3230.5,1.1279e+05,8246.9,7.9881e+06,8.1123e+06
11420.5000,38795,3230.5,1.1279e+05,8246.9,7.9523e+06,8.0766e+06
11467.0000,38795,3230.5,1.1279e+05,8246.9,7.8716e+06,7.9958e+06
11513.5000,38795,3230.5,1.1279e+05,8246.9,7.8055e+06,7.9297e+06
11560.0000,38795,3230.5,1.1279e+05,8246.9,7.7805e+06,7.9048e+06
11606.5000,38795,3230.5,1.1279e+05,8246.9,7.7784e+06,7.9026e+06
11653.0000,38795,3230.5,1.1279e+05,8246.9,7.874e+06,7.9983e+06
11699.5000,38795,3230.5,1.1279e+05,8246.9,7.969e+06,8.0933e+06
11746.0000,38795,3230.5,1.1279e+05,8246.9,7.9949e+06,8.1192e+06
11792.5000,38795,3230.5,1.1279e+05,8246.9,8.0005e+06,8.1248e+06
11839.0000,38795,3230.5,1.1279e+05,8246.9,7.9625e+06,8.0867e+06
11885.5000,38795,3230.5,1.1279e+05,8246.9,7.907e+06,8.0313e+06
11932.0000,38795,3230.5,1.1279e+05,8246.9,7.8435e+06,7.9678e+06
11978.5000,38795,3230.5,1.1279e+05,8246.9,7.7776e+06,7.9018e+06
12025.0000,38795,3230.5,1.1279e+05,8246.9,7.7585e+06,7.8828e+06
12071.5000,38795,3230.5,1.1279e+05,8246.9,7.7911e+06,7.9153e+06
12118.0000,38795,3230.5,1.1279e+05,8246.9,7.838e+06,7.9622e+06
