wavelength,readnoise,dark_counts,sky_counts,thermal,target_counts,total_counts
13280.5000,17692,1456.1,50840,3717.3,2.4587e+06,2.5148e+06
13327.0000,17692,1456.1,50840,3717.3,2.4812e+06,2.5372e+06
13373.5000,17692,1456.1,50840,3717.3,2.5221e+06,2.5781e+06
13420.0000,17692,1456.1,50840,3717.3,2.5543e+06,2.6103e+06
13466.5000,0,1456.1,50840,3717.3,2.5731e+06,2.6291e+06
13513.0000,0,1456.1,50840,3717.3,2.5871e+06,2.6431e+06
13559.5000,0,1456.1,50840,3717.3,2.5895e+06,2.6455e+06
13606.0000,0,1456.1,50840,3717.3,2.5763e+06,2.6323e+06
13652.5000,0,1456.1,50840,3717.3,2.4913e+06,2.5473e+06
13699.0000,0,1456.1,50840,3717.3,2.4074e+06,2.4634e+06
13745.5000,0,1456.1,50840,3717.3,2.3983e+06,2.4543e+06
13792.0000,0,1456.1,50840,3717.3,2.406e+06,2.462e+06
13838.5000,0,1456.1,50840,3717.3,2.4067e+06,2.4628e+06
13885.0000,0,1456.1,50840,3717.3,2.4335e+06,2.4895e+06
13931.5000,0,1456.1,50840,3717.3,2.456e+06,2.512e+06
13978.0000,0,1456.1,50840,3717.3,2.475e+06,2.531e+06
14024.5000,0,1456.1,50840,3717.3,2.4844e+06,2.5404e+06
14071.0000,0,1456.1,50840,3717.3,2.4847e+06,2.5407e+06
14117.5000,0,1456.1,50840,3717.3,2.4806e+06,2.5366e+06
14164.0000,0,1456.1,50840,3717.3,2.4654e+06,2.5214e+06
14210.5000,0,1456.1,50840,3717.3,2.4485e+06,2.5045e+06
14257.0000,0,1456.1,50840,3717.3,2.4366e+06,2.4926e+06
14303.5000,0,1456.1,50840,3717.3,2.4288e+06,2.4848e+06
14350.0000,0,1456.1,50840,3717.3,2.4401e+06,2.4962e+06
14396.5000,0,1456.1,50840,3717.3,2.4489e+06,2.5049e+06
14443.0000,0,1456.1,50840,3717.3,2.3991e+06,2.4551e+06
14489.5000,0,1456.1,50840,3717.3,2.3349e+06,2.3909e+06
14536.0000,0,1456.1,50840,3717.3,2.3412e+06,2.3972e+06
14582.5000,0,1456.1,50840,3717.3,2.3832e+06,2.4392e+06
14629.0000,0,1456.1,50840,3717.3,2.3997e+06,2.4557e+06
